순위,링크,변동폭,영화명
1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167638,0,완벽한 타인
2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,0,보헤미안 랩소디
3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160487,0,창궐
4,https://movie.naver.com/movie/bi/mi/basic.nhn?code=166610,2,동네사람들
5,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170879,-1,할로윈
6,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164155,-1,벽 속에 숨은 마법시계
7,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167105,0,암수살인
8,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171750,3,여곡성
9,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173692,-1,바울
10,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154255,2,신비한 동물들과 그린델왈드의 범죄
