"새주소","지번주소","좌표정보","좌표정보","테마코드","콘텐츠 코드","언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)","콘텐츠 명","시도명(텍스트)","구명","동명","산지여부","주 번지","부 번지","기타주소","전화번호","상세정보 값 1","상세정보 값 2","상세정보 값 3","상세정보 값 4","상세정보 값 5","상세정보 값 6","상세정보 값 7","상세정보 값 8","상세정보 값 9","상세정보 값 10","상세정보 값 11","상세정보 값 12","상세정보 값 13","상세정보 값 14","상세정보 값 15","상세정보 값 16","상세정보 값 17","상세정보 값 18","상세정보 값 19","상세정보 값 20","상세정보 이름 1","상세정보 이름 2","상세정보 이름 3","상세정보 이름 4","상세정보 이름 5","상세정보 이름 6","상세정보 이름 7","상세정보 이름 8","상세정보 이름 9","상세정보 이름 10","상세정보 이름 11","상세정보 이름 12","상세정보 이름 13","상세정보 이름 14","상세정보 이름 15","상세정보 이름 16","상세정보 이름 17","상세정보 이름 18","상세정보 이름 19","상세정보 이름 20","좌표데이터","좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint)","선 두께 1~10","테마 선 색상","키워드","등록일","수정일"
"서울특별시 강서구 화곡로 323","서울특별시 강서구 화곡동 1106","126.850478000","37.552797000","100008","WF081001","KOR","강서구의회","서울특별시","강서구","","","","","","","의회사무국  2층","공공기관","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 화곡로 302","서울특별시 강서구 화곡동 980-16","126.849642000","37.550937000","100008","WF081004","KOR","강서구청 본관","서울특별시","강서구","","","","","","","6층 복도 공보전산과앞","공공기관","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 등촌로 147","서울특별시 강서구 등촌동 560-11","126.862449000","37.542883000","100008","WF091004","KOR","등촌2동 주민센터","서울특별시","강서구","","","","","","","2층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 허준로 30","서울특별시 강서구 가양동 1462-3","126.844711000","37.569446000","100008","WF101001","KOR","가양1동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 강서로52길 89","서울특별시 강서구 내발산동 648-8","126.843166000","37.557476000","100008","WF101003","KOR","발산2동 문화센터","서울특별시","강서구","","","","","","","6층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 방화대로 330","서울특별시 강서구 마곡동 731-272","126.816924000","37.570402000","100008","WF101004","KOR","방화1동 주민센터","서울특별시","강서구","","","","","","","2층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 우현로 34","서울특별시 강서구 화곡동 1159-4","126.841847000","37.548211000","100008","WF101005","KOR","우장산동 주민센터","서울특별시","강서구","","","","","","","4층도서관","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 곰달래로31가길 54","서울특별시 강서구 화곡동 860-25","126.854444000","37.532051000","100008","WF101006","KOR","화곡2동 주민센터","서울특별시","강서구","","","","","","","1층","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 강서구 강서로35길 11","서울특별시 강서구 화곡동 1050-2","126.838325000","37.542737000","100008","WF101007","KOR","화곡3동 주민센터","서울특별시","강서구","","","","","","","","주민센터","강서구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
"서울특별시 성북구 삼선교로4길 40-9","서울특별시 종로구 동숭동 2-1","127.006503400","37.585311300","100008","WF101008","KOR","구민정보화교육장","서울특별시","성북구","","","","","","","구민정보화센터","공공기관","성북구","","","","","","","","","","","","","","","","","","위치안내","설치유형","설치기관","","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-06-14 14:09:31.0","2018-06-14 14:09:31.0"
