,CCTV수,최근증가율,세대수,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차,스타벅스,스벅비율
강남구,3238,150.61919504643964,228883,549255,544257,4998,66412,0.9099598547122919,12.091287289146207,0.589525812236575,1564.1736310863225,71,129.26600577145405
강동구,1010,166.49076517150397,177591,434992,430705,4287,58280,0.9855353661676536,13.397947548460662,0.2321881781733917,540.2156475257668,10,22.988928532018985
강북구,831,125.20325203252031,143172,324276,320576,3700,57741,1.1410033428314152,17.80612811308885,0.2562631832142989,599.4421020282398,5,15.418964092316422
강서구,911,134.7938144329897,257558,605068,598416,6652,78814,1.0993805654901596,13.025643398758488,0.15056158977172815,823.2053646762906,14,23.137895244831988
관악구,2109,149.29078014184395,261401,521685,503956,17729,71840,3.3984109184661233,13.770762049896009,0.4042669426953046,464.9991002991446,9,17.251789873199343
광진구,878,53.228621291448526,161714,369999,355032,14967,45202,4.045146067962346,12.2167897751075,0.2372979386430774,601.9056467804294,13,35.13523009521648
구로구,1884,64.97373029772329,172121,439234,406144,33090,61293,7.533569805616139,13.954520824890606,0.4289285437830405,329.19531945280437,10,22.76690784411043
금천구,1348,100.0,106774,252359,232760,19599,35299,7.766317032481504,13.987612884818848,0.5341596693599198,4.64165700181502,10,39.62608823144806
노원구,1566,188.92988929889302,217900,551069,546911,4158,76466,0.7545334613269844,13.875939310685231,0.2841749399802929,109.78877011614622,10,18.146547891461868
도봉구,825,246.63865546218491,137901,342990,340876,2114,55499,0.6163444998396455,16.18093821977317,0.2405317939298522,625.6870723165516,1,2.9155368961194204
동대문구,1870,74.76635514018692,162232,366101,350556,15545,57096,4.246096022682265,15.59569626960866,0.5107880065883459,394.31124400635264,9,24.58337999623055
동작구,1302,139.33823529411765,175873,407925,395513,12412,58803,3.042716185573328,14.415149843721274,0.3191763191763192,218.9343281502333,7,17.16001716001716
마포구,980,212.10191082802552,171320,385032,374106,10926,50559,2.8376862182883498,13.13111637474288,0.2545242992790209,516.1684787962567,32,83.10997527478236
서대문구,1254,48.5781990521327,138027,322497,310584,11913,50278,3.693987851049777,15.590222544705842,0.3888408264262924,174.51756413452904,20,62.01608076974359
서초구,2297,63.371266002844955,173912,441539,437407,4132,54887,0.9358176740899444,12.430838498977439,0.520225846414473,739.7017501189067,45,101.91625201850799
성동구,1327,81.78082191780824,136831,317197,309251,7946,42581,2.505067828510358,13.424149660936266,0.4183520020681154,95.78397737979708,9,28.37353442813141
성북구,1651,63.62735381565908,186744,449574,438031,11543,67447,2.5675417172701267,15.00242451743206,0.3672365394795962,85.00941623696896,12,26.691935031830134
송파구,1081,104.34782608695652,269558,673582,666892,6690,80220,0.9931975616925632,11.909463138860598,0.16048528612700458,727.3244142826491,27,40.08420652570882
양천구,2482,34.67173087357569,176598,469945,466121,3824,57442,0.8137122429220441,12.223132494228047,0.5281469108087117,893.9718887311874,14,29.79072019066061
영등포구,1277,157.97979797979798,170208,403724,368577,35147,55364,8.705699933618016,13.713328907867751,0.3163051986010245,239.3896492904921,33,81.73900981858894
용산구,2096,53.21637426900586,108777,245087,229391,15696,37443,6.404256447710406,15.277432095541586,0.8552065185015932,751.2252567492058,17,69.36312411511015
은평구,2108,85.23725834797891,203951,487849,483417,4432,76643,0.9084778281804412,15.710393994863164,0.4321009164721051,500.60318358841005,8,16.398516754159584
종로구,1619,248.92241379310346,73696,163086,153396,9690,26622,5.941650417571098,16.323902726169017,0.9927277632660068,362.93466193312406,38,233.00589872827834
중구,1023,147.6997578692494,61232,135258,125815,9443,21902,6.981472445252776,16.19275754484023,0.7563323426340771,202.96076217806882,48,354.8773455174555
중랑구,916,79.96070726915521,180044,409058,404313,4745,61271,1.1599822030127758,14.978560497533357,0.22392912496516387,606.1600175451599,6,14.667846613438682
